,지역코드,시군구,법정동,지번,단지,층,전용면적,구분,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부
0,28110,중구,운남동,1550,영종자이,10,84.698,,2007,7,7,"32,700",,,,
1,28110,중구,운남동,1550,영종자이,7,84.698,,2008,7,25,"32,450",,,,
2,28110,중구,운서동,2923,영종어울림1차,4,103.82,,2008,9,22,"40,184",,,,
3,28110,중구,운남동,1550,영종자이,5,167.8677,,2008,11,10,"65,570",,,,
4,28110,중구,운남동,1550,영종자이,10,138.6111,,2008,11,13,"53,130",,,,
5,28110,중구,운남동,1550,영종자이,9,127.7293,,2008,11,19,"46,320",,,,
6,28110,중구,운남동,1550,영종자이,15,113.006,,2008,11,20,"47,690",,,,
7,28110,중구,운남동,1550,영종자이,4,113.006,,2008,11,25,"44,010",,,,
8,28110,중구,운남동,1550,영종자이,14,167.8677,,2008,11,26,"71,160",,,,
9,28110,중구,운남동,1550,영종자이,6,167.8677,,2008,11,28,"63,830",,,,
10,28110,중구,운서동,2923,영종어울림1차,6,103.82,,2008,11,18,"39,934",,,,
11,28110,중구,운남동,1550,영종자이,13,113.006,,2008,12,1,"47,690",,,,
12,28110,중구,운남동,1550,영종자이,16,113.006,,2008,12,1,"48,320",,,,
13,28110,중구,운남동,1550,영종자이,5,101.773,,2008,12,1,"36,630",,,,
14,28110,중구,운남동,1550,영종자이,5,113.006,,2008,12,3,"44,430",,,,
15,28110,중구,운남동,1550,영종자이,7,127.8114,,2008,12,5,"48,210",,,,
16,28110,중구,운남동,1550,영종자이,21,167.8677,,2008,12,5,"69,110",,,,
17,28110,중구,운남동,1550,영종자이,20,138.6111,,2008,12,6,"55,190",,,,
18,28110,중구,운남동,1550,영종자이,12,101.773,,2008,12,17,"37,460",,,,
19,28110,중구,운남동,1550,영종자이,14,127.7293,,2008,12,20,"46,430",,,,
20,28110,중구,운남동,1550,영종자이,20,167.8677,,2008,12,29,"7,235",,,,
21,28110,중구,운남동,1550,영종자이,22,138.6111,,2009,1,6,"55,620",,,,
22,28110,중구,운남동,1550,영종자이,12,113.006,,2009,1,8,"45,240",,,,
23,28110,중구,운남동,1550,영종자이,10,138.6111,,2009,1,30,"53,000",,,,
24,28110,중구,운서동,2923,영종어울림1차,15,126.28,,2009,1,5,"51,625",,,,
25,28110,중구,운서동,2923,영종어울림1차,3,126.28,,2009,1,12,"51,980",,,,
26,28110,중구,운서동,2923,영종어울림1차,14,126.28,,2009,1,20,"52,980",,,,
27,28110,중구,운남동,1550,영종자이,17,167.8677,,2009,2,4,"68,610",,,,
28,28110,중구,운남동,1550,영종자이,19,167.8677,,2009,2,12,"73,300",,,,
29,28110,중구,운남동,1550,영종자이,8,113.006,,2009,2,18,"44,360",,,,
30,28110,중구,운남동,1550,영종자이,7,84.698,,2009,2,20,"30,880",,,,
31,28110,중구,운남동,1550,영종자이,19,167.8677,,2009,2,23,"70,400",,,,
32,28110,중구,운서동,2923,영종어울림1차,5,84.97,,2009,2,4,"30,600",,,,
33,28110,중구,운서동,2923,영종어울림1차,13,126.28,,2009,2,9,"51,625",,,,
34,28110,중구,운서동,2923,영종어울림1차,15,84.97,,2009,2,18,"30,600",,,,
35,28110,중구,운서동,2923,영종어울림1차,10,126.28,,2009,2,18,"52,230",,,,
36,28110,중구,운서동,2923,영종어울림1차,1,84.97,,2009,2,20,"73,953",,,,
37,28110,중구,운서동,2923,영종어울림1차,4,126.28,,2009,2,25,"51,538",,,,
38,28110,중구,운서동,2923,영종어울림1차,1,126.28,,2009,2,26,"48,390",,,,
39,28110,중구,운남동,1550,영종자이,18,167.8677,,2009,3,1,"71,300",,,,
40,28110,중구,운남동,1550,영종자이,5,127.7293,,2009,3,2,"48,240",,,,
41,28110,중구,운남동,1550,영종자이,15,167.8677,,2009,3,5,"65,720",,,,
42,28110,중구,운남동,1550,영종자이,9,84.698,,2009,3,9,"32,200",,,,
43,28110,중구,운남동,1550,영종자이,14,113.006,,2009,3,22,"47,440",,,,
44,28110,중구,운남동,1550,영종자이,14,167.8677,,2009,3,26,"64,044",,,,
45,28110,중구,운서동,2923,영종어울림1차,7,84.97,,2009,3,9,"27,540",,,,
46,28110,중구,운서동,2923,영종어울림1차,15,103.82,,2009,3,14,"39,934",,,,
47,28110,중구,운서동,2923,영종어울림1차,13,84.97,,2009,3,17,"28,000",,,,
48,28110,중구,운서동,2923,영종어울림1차,5,84.97,,2009,3,25,"30,600",,,,
49,28110,중구,운서동,2923,영종어울림1차,4,126.28,,2009,3,30,"51,980",,,,
50,28110,중구,운남동,1550,영종자이,5,127.7293,,2009,4,1,"47,590",,,,
51,28110,중구,운남동,1550,영종자이,4,84.698,,2009,4,6,"31,160",,,,
52,28110,중구,운남동,1550,영종자이,15,138.6111,,2009,4,12,"52,870",,,,
53,28110,중구,운남동,1550,영종자이,5,101.1636,,2009,4,13,"39,750",,,,
54,28110,중구,운남동,1550,영종자이,13,167.8677,,2009,4,17,"67,420",,,,
55,28110,중구,운남동,1550,영종자이,19,127.7293,,2009,4,20,"49,430",,,,
56,28110,중구,운남동,1550,영종자이,9,127.7293,,2009,4,20,"47,710",,,,
57,28110,중구,운서동,2923,영종어울림1차,15,103.82,,2009,4,9,"39,934",,,,
58,28110,중구,운서동,2923,영종어울림1차,11,126.28,,2009,4,16,"51,980",,,,
59,28110,중구,운남동,1550,영종자이,17,138.6111,,2009,5,1,"55,620",,,,
60,28110,중구,운남동,1550,영종자이,18,167.8677,,2009,5,1,"71,300",,,,
61,28110,중구,운남동,1550,영종자이,19,101.773,,2009,5,1,"38,150",,,,
62,28110,중구,운남동,1550,영종자이,20,167.8677,,2009,5,4,"71,300",,,,
63,28110,중구,운남동,1550,영종자이,12,127.7293,,2009,5,6,"48,760",,,,
64,28110,중구,운남동,1550,영종자이,22,101.773,,2009,5,7,"41,280",,,,
65,28110,중구,운남동,1550,영종자이,23,101.1636,,2009,5,11,"41,120",,,,
66,28110,중구,운남동,1550,영종자이,19,167.8677,,2009,5,11,"68,610",,,,
67,28110,중구,운남동,1550,영종자이,9,84.698,,2009,5,23,"30,130",,,,
68,28110,중구,운남동,1550,영종자이,2,167.8677,,2009,5,26,"65,480",,,,
69,28110,중구,운서동,2923,영종어울림1차,10,126.28,,2009,5,12,"51,625",,,,
70,28110,중구,운서동,2923,영종어울림1차,11,84.97,,2009,5,14,"30,600",,,,
71,28110,중구,운서동,2923,영종어울림1차,15,103.82,,2009,5,20,"41,150",,,,
72,28110,중구,운남동,1550,영종자이,20,113.006,,2009,6,11,"46,120",,,,
73,28110,중구,운남동,1550,영종자이,8,138.6111,,2009,6,25,"54,250",,,,
74,28110,중구,운남동,1550,영종자이,12,101.1636,,2009,6,25,"38,730",,,,
75,28110,중구,운서동,2923,영종어울림1차,14,126.28,,2009,6,23,"52,980",,,,
76,28110,중구,운남동,1550,영종자이,18,167.8677,,2009,7,23,"71,300",,,,
77,28110,중구,운남동,1550,영종자이,17,113.006,,2009,7,30,"46,120",,,,
78,28110,중구,운남동,1550,영종자이,11,101.1636,,2009,8,7,"40,430",,,,
79,28110,중구,운남동,1550,영종자이,5,167.8677,,2009,8,10,"64,700",,,,
80,28110,중구,운남동,1550,영종자이,15,101.773,,2009,8,13,"37,460",,,,
81,28110,중구,운남동,1550,영종자이,13,101.773,,2009,8,18,"41,780",,,,
82,28110,중구,운남동,1550,영종자이,6,113.006,,2009,8,24,"46,820",,,,
83,28110,중구,운남동,1550,영종자이,3,101.1636,,2009,8,29,"39,410",,,,
84,28110,중구,운남동,1550,영종자이,18,167.8677,,2009,9,1,"72,800",,,,
85,28110,중구,운남동,1550,영종자이,16,138.6111,,2009,9,1,"55,370",,,,
86,28110,중구,운남동,1550,영종자이,4,84.698,,2009,9,9,"31,160",,,,
87,28110,중구,운남동,1550,영종자이,5,113.006,,2009,9,10,"44,430",,,,
88,28110,중구,운남동,1550,영종자이,3,138.6111,,2009,9,16,"52,080",,,,
89,28110,중구,운남동,1550,영종자이,8,84.698,,2009,9,17,"30,630",,,,
90,28110,중구,운남동,1550,영종자이,14,167.8677,,2009,10,5,"66,070",,,,
91,28110,중구,운남동,1550,영종자이,4,138.6111,,2009,10,9,"51,180",,,,
92,28110,중구,운남동,1550,영종자이,10,84.698,,2009,10,13,"32,200",,,,
93,28110,중구,운남동,1550,영종자이,12,101.1636,,2009,10,16,"40,730",,,,
94,28110,중구,운남동,1550,영종자이,2,113.006,,2009,10,19,"45,690",,,,
95,28110,중구,운남동,1550,영종자이,4,127.7293,,2009,10,19,"45,150",,,,
96,28110,중구,운남동,1550,영종자이,17,167.8677,,2009,10,20,"67,260",,,,
97,28110,중구,운남동,1550,영종자이,19,101.1636,,2009,10,21,"41,420",,,,
98,28110,중구,운남동,1550,영종자이,22,101.1636,,2009,10,23,"41,420",,,,
99,28110,중구,운남동,1550,영종자이,18,167.8677,,2009,10,28,"68,910",,,,
100,28110,중구,운남동,1550,영종자이,8,84.698,,2009,11,12,"32,200",,,,
101,28110,중구,운남동,1550,영종자이,8,84.698,,2009,12,2,"30,630",,,,
102,28110,중구,운남동,1550,영종자이,6,84.698,,2009,12,4,"30,630",,,,
103,28110,중구,운남동,1550,영종자이,9,84.698,,2009,12,7,"32,200",,,,
104,28110,중구,운남동,1550,영종자이,10,101.773,,2009,12,11,"39,890",,,,
105,28110,중구,운남동,1550,영종자이,9,84.698,,2009,12,30,"35,500",,,,
106,28110,중구,운서동,2924,영종어울림2차,5,148.187,,2010,2,10,"63,782",,,,
107,28110,중구,운남동,1550,영종자이,5,138.6111,,2010,3,5,"54,000",,,,
108,28110,중구,운남동,1550,영종자이,1,84.698,,2010,3,18,"30,640",,,,
109,28110,중구,운남동,1550,영종자이,8,127.8114,,2010,3,25,"47,960",,,,
110,28110,중구,운남동,50-1,영종자이,15,113.006,,2010,4,20,"47,440",,,,
111,28110,중구,운남동,1550,영종자이,22,127.7293,,2010,4,28,"50,010",,,,
112,28110,중구,운서동,2924,영종어울림2차,1,107.6867,,2010,4,1,"40,178",,,,
113,28110,중구,운서동,2924,영종어울림2차,6,148.187,,2010,4,19,"63,782",,,,
114,28110,중구,운서동,2924,영종어울림2차,5,148.187,,2010,4,19,"63,782",,,,
115,28110,중구,운서동,2924,영종어울림2차,5,148.187,,2010,4,19,"63,782",,,,
116,28110,중구,운서동,2924,영종어울림2차,6,148.187,,2010,4,19,"63,782",,,,
117,28110,중구,운서동,2924,영종어울림2차,8,148.187,,2010,4,19,"63,782",,,,
118,28110,중구,운서동,2924,영종어울림2차,9,148.187,,2010,4,19,"63,782",,,,
119,28110,중구,운서동,2924,영종어울림2차,7,148.187,,2010,4,19,"63,782",,,,
120,28110,중구,운서동,2924,영종어울림2차,7,148.187,,2010,4,19,"63,782",,,,
121,28110,중구,운서동,2924,영종어울림2차,5,148.187,,2010,4,19,"63,782",,,,
122,28110,중구,운남동,1550,영종자이,20,167.8677,,2010,5,3,"72,350",,,,
123,28110,중구,운서동,43-1,영종어울림2차,10,148.187,,2010,5,6,"67,375",,,,
124,28110,중구,운서동,2924,영종어울림2차,3,107.6867,,2010,5,11,"44,993",,,,
125,28110,중구,운서동,2924,영종어울림2차,9,148.187,,2010,5,20,"63,782",,,,
126,28110,중구,운남동,1550,영종자이,8,167.8677,,2010,7,2,"69,520",,,,
127,28110,중구,운서동,2788-6,영종주공스카이빌10단지,3,59.64,,2010,9,27,"15,100",,,,
128,28110,중구,중산동,1887-1,하늘도시한라비발디,22,101.7629,,2010,11,17,"40,490",,,,
129,28110,중구,중산동,1887-1,하늘도시한라비발디,29,101.7629,,2010,11,19,"40,490",,,,
130,28110,중구,중산동,1871-3,하늘도시우미린2단지,34,84.7989,,2010,12,31,"31,073",,,,
131,28110,중구,운서동,2788-6,영종주공스카이빌10단지,1,59.64,,2011,3,24,"14,000",,,,
132,28110,중구,운남동,1550,영종자이,13,101.1636,,2011,6,8,"39,990",,,,
133,28110,중구,중산동,1887-1,하늘도시한라비발디,17,115.2344,,2011,9,5,"45,800",,,,
134,28110,중구,중산동,1887-1,하늘도시한라비발디,22,115.4255,,2011,11,28,"46,500",,,,
135,28110,중구,중산동,1887-1,하늘도시한라비발디,22,115.4255,,2011,12,6,"46,500",,,,
136,28110,중구,중산동,1887-1,하늘도시한라비발디,23,115.4255,,2012,1,9,"45,618",,,,
137,28110,중구,중산동,1887-1,하늘도시한라비발디,14,101.7629,,2012,2,7,"36,990",,,,
138,28110,중구,중산동,1887-1,하늘도시한라비발디,16,101.7629,,2012,2,15,"39,990",,,,
139,28110,중구,중산동,1887-1,하늘도시한라비발디,18,101.7629,,2012,3,2,"39,990",,,,
140,28110,중구,중산동,1887-1,하늘도시한라비발디,18,101.7629,,2012,3,8,"39,990",,,,
141,28110,중구,중산동,1887-1,하늘도시한라비발디,24,115.4255,,2012,3,12,"41,850",,,,
142,28110,중구,중산동,1887-1,하늘도시한라비발디,16,101.5405,,2012,3,16,"37,043",,,,
143,28110,중구,중산동,1887-1,하늘도시한라비발디,19,101.7629,,2012,3,21,"39,034",,,,
144,28110,중구,중산동,1887-1,하늘도시한라비발디,27,101.7629,,2012,3,28,"40,490",,,,
145,28110,중구,중산동,1878-1,인천영종한양수자인,3,59.7782,,2012,4,2,"23,510",,,,
146,28110,중구,중산동,1887-1,하늘도시한라비발디,23,101.9128,,2012,4,5,"37,485",,,,
147,28110,중구,중산동,1887-1,하늘도시한라비발디,22,101.7629,,2012,4,13,"36,441",,,,
148,28110,중구,중산동,1887-1,하늘도시한라비발디,27,115.4255,,2012,4,18,"46,500",,,,
149,28110,중구,중산동,1887-1,하늘도시한라비발디,26,139.5524,,2012,4,25,"52,123",,,,
150,28110,중구,중산동,1887-1,하늘도시한라비발디,26,139.5524,,2012,5,10,"52,123",,,,
151,28110,중구,중산동,1887-1,하늘도시한라비발디,26,139.5524,,2012,5,15,"52,123",,,,
152,28110,중구,중산동,1887-1,하늘도시한라비발디,22,101.7629,,2012,5,21,"41,534",,,,
153,28110,중구,중산동,1887-1,하늘도시한라비발디,23,101.5405,,2012,5,30,"37,493",,,,
154,28110,중구,중산동,1887-1,하늘도시한라비발디,23,101.5405,,2012,6,5,"37,493",,,,
155,28110,중구,중산동,1887-1,하늘도시한라비발디,20,101.5405,,2012,6,6,"37,493",,,,
156,28110,중구,중산동,1887-1,하늘도시한라비발디,29,115.4255,,2012,6,7,"42,968",,,,
157,28110,중구,중산동,1887-1,하늘도시한라비발디,32,101.9128,,2012,7,11,"37,508",,,,
158,28110,중구,중산동,1887-1,하늘도시한라비발디,23,101.5405,,2012,7,13,"35,469",,,,
159,28110,중구,중산동,1887-1,하늘도시한라비발디,11,101.7629,,2012,7,25,"36,491",,,,
160,28110,중구,중산동,1887-1,하늘도시한라비발디,5,115.4255,,2012,7,26,"40,590",,,,
161,28110,중구,중산동,1872-2,인천영종동보노빌리티,18,84.612,,2012,7,27,"5,600",,,,
162,28110,중구,중산동,1878-1,인천영종한양수자인,29,59.2156,,2012,8,2,"19,820",,,,
163,28110,중구,중산동,1887-2,영종힐스테이트,15,83.294,,2012,8,6,"32,818",,,,
164,28110,중구,중산동,1887-2,영종힐스테이트,27,83.372,,2012,8,7,"31,017",,,,
165,28110,중구,중산동,1872-2,인천영종동보노빌리티,22,84.96,,2012,8,10,"33,490",,,,
166,28110,중구,중산동,1871-3,하늘도시우미린2단지,23,84.7834,,2012,8,13,"33,920",,,,
167,28110,중구,중산동,1872-1,영종신명스카이뷰주얼리,31,57.016,,2012,8,13,"23,900",,,,
168,28110,중구,중산동,1881-1,하늘도시우미린1단지,23,59.55,,2012,8,20,"25,220",,,,
169,28110,중구,중산동,1878-1,한양수자인,20,59.127,,2012,8,21,"24,970",,,,
170,28110,중구,중산동,1872-2,인천영종동보노빌리티,4,84.672,,2012,8,25,"30,000",,,,
171,28110,중구,중산동,1871-3,하늘도시우미린2단지,31,84.7834,,2012,8,29,"30,000",,,,
172,28110,중구,중산동,1871-3,하늘도시우미린2단지,21,84.9907,,2012,8,29,"33,490",,,,
173,28110,중구,중산동,1871-3,하늘도시우미린2단지,26,84.7989,,2012,8,30,"33,640",,,,
