id,address,latitude,longitude,address_road,building_name,age,main_use,floor,under_floor,structure_name,structure_category,gf_area,bc_area,bc_ratio,fa_ratio,parking_lot_count,area,connection_area,landuse_zone,landuse_district,jimok,lot_road,lot_height,lot_shape,icp_potential_landlocked,development_state,naver_longitude,naver_latitude,naver_pnu
2823710400104160000,인천 부평구 청천동 416,37.52075515,126.7169738,새벌로 44,,51,공장,4.0,0.0,철근콘크리트,철골철근콘크리트,13883.9,5838.9,58.8,139.0,0.0,9930.2,9930.2,일반공업지역,,공장,중로각지,평지,세장형,False,,126.7169809,37.5208319,2.82371040010416e+18
2823710400100630059,인천 부평구 청천동 63-59,37.51779154,126.68525586,,,0,,,,,건물없음,,,,,,1441.0,1441.0,개발제한구역|보전녹지지역|자연녹지지역|준공업지역,,전,세로(가),완경사,삼각형,False,,126.6852259,37.5178329,2.82371040010063e+18
2823710400103850003,인천 부평구 청천동 385-3,37.52277297,126.70266619,부평북로 87,,5,공장,5.0,0.0,일반철골구조,철골,3422.7,755.3,68.6,310.8,19.0,1101.2,1101.2,준공업지역,,대지,소로각지,평지,세장형,False,,126.7026643,37.522777,2.82371040010385e+18
2823710400100670013,인천 부평구 청천동 67-13,37.5202469,126.69019616,청농로 29,대흥과학(주),7,공장,4.0,0.0,일반철골구조,철골,4396.5,1359.5,69.2,224.0,13.0,1963.0,1963.0,준공업지역,,공장,소로한면,평지,사다리,False,,126.6902497,37.5202099,2.82371040010067e+18
2823710400104270009,인천 부평구 청천동 427-9,37.52069866,126.72113062,부평대로329번길 3,(주)세원기연공장 A동|(주)세원기연공장 B동,15,공장,4.0,0.0,철골철근콘크리트구조,철골철근콘크리트,6917.5,2320.3,65.5,195.3,76.0,3542.8,3542.8,일반공업지역,철도보호지구,공장,광대소각,평지,세장형,False,,126.7211275,37.5207109,2.82371040010427e+18
2823710400104040009,인천 부평구 청천동 404-9,37.52289948,126.71503983,부평북로 197,,10,공장,2.0,0.0,일반철골구조,철골,881.9,461.7,69.8,133.3,4.0,661.5,661.5,일반공업지역,,공장,중로한면,평지,세장형,False,,126.7150383,37.5229127,2.82371040010404e+18
2823710400104030034,인천 부평구 청천동 403-34,37.5232878,126.71207395,청천마차로 188,가연산업,8,공장,6.0,0.0,일반철골구조,철골,2784.7,525.7,69.0,335.7,10.0,762.1,762.1,일반공업지역,,공장,세로(가),평지,세장형,False,,126.7120717,37.5233016,2.82371040010403e+18
2823710400100030007,인천 부평구 청천동 3-7,37.51776542,126.70867587,평천로 166,한신메디칼|한신메디칼(주) 경비실,18,공장,5.0,1.0,철근콘크리트구조,철골철근콘크리트,10427.6,2097.6,59.7,238.3,49.0,3514.7,3514.7,준공업지역,,공장,광대소각,평지,사다리,False,,126.708661,37.5177965,2.82371040010003e+18
2823710400104260004,인천 부평구 청천동 426-4,37.52197845,126.71977072,부평북로236번길 11,부광메탈공장 1동|부광메탈공장 2동,11,공장,2.0,0.0,일반철골구조,철골,2950.8,1380.4,77.1,164.8,0.0,1790.0,1790.0,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7197663,37.521956,2.82371040010426e+18
2823710400104090000,인천 부평구 청천동 409,37.52229665,126.71082144,안남로 440,,31,업무시설,5.0,1.0,철근콘크리트조 라멘조,철골철근콘크리트,3046.3,592.3,64.5,283.6,0.0,919.0,919.0,일반공업지역,,대지,중로각지,평지,가장형,False,,126.7108185,37.5222886,2.82371040010409e+18
