,지역코드,시군구,법정동,유형,용도지역,건물주용도,건축년도,대지면적,건물면적,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부
0,28110,중구,항동7가,집합,일반상업,기타,2000,,3706.58,2006,1,23,"90,000",,,,
1,28110,중구,경동,일반,일반상업,판매,1971,251.3,709.76,2006,1,23,"42,000",,,,
2,28110,중구,송월동1가,일반,제2종일반주거,기타,1997,143,409.01,2006,1,10,"26,500",,,,
3,28110,중구,운서동,집합,일반상업,기타,2003,,28.71,2006,1,3,"5,100",,,,
4,28110,중구,항동7가,일반,일반상업,숙박,1994,340.8,908.41,2006,2,3,"59,000",,,,
5,28110,중구,항동7가,일반,일반상업,기타,1983,2713,1344,2006,2,7,"8,000",,,,
6,28110,중구,항동7가,집합,일반상업,판매,1977,,4.96,2006,2,7,"2,000",,,,
7,28110,중구,항동7가,집합,일반상업,판매,2000,,10.56,2006,2,20,"1,730",,,,
8,28110,중구,항동7가,집합,일반상업,판매,2000,,10.56,2006,2,20,"1,730",,,,
9,28110,중구,항동7가,집합,일반상업,판매,2000,,9.6,2006,2,20,"1,572",,,,
10,28110,중구,항동7가,집합,일반상업,판매,2000,,10.56,2006,2,20,"1,730",,,,
11,28110,중구,항동7가,집합,일반상업,판매,2000,,9.3,2006,2,20,"1,525",,,,
12,28110,중구,항동7가,집합,일반상업,판매,1977,,9.92,2006,2,20,"4,000",,,,
13,28110,중구,사동,일반,일반상업,업무,1995,2145.1,7693.63,2006,2,27,"550,000",,,,
14,28110,중구,신생동,일반,일반상업,판매,1977,94.2,119,2006,2,12,"17,500",,,,
15,28110,중구,인현동,일반,일반상업,기타,1978,91.9,280.14,2006,2,20,"23,200",,,,
16,28110,중구,중앙동4가,일반,일반상업,기타,1989,541.5,1225.6,2006,3,29,"146,528",,,,
17,28110,중구,항동7가,일반,일반상업,기타,1983,2713,1344,2006,3,3,"8,000",,,,
18,28110,중구,항동7가,일반,일반상업,숙박,1996,370.2,661.55,2006,3,8,"64,500",,,,
19,28110,중구,항동7가,집합,일반상업,판매,2000,,10.89,2006,3,10,850,,,,
20,28110,중구,항동7가,집합,일반상업,판매,2000,,10.89,2006,3,10,850,,,,
21,28110,중구,항동7가,집합,일반상업,판매,2000,,10.89,2006,3,10,850,,,,
22,28110,중구,항동7가,집합,일반상업,판매,1999,,11.28,2006,3,10,"2,250",,,,
23,28110,중구,항동7가,집합,일반상업,판매,1977,,16.53,2006,3,13,"4,000",,,,
24,28110,중구,항동7가,집합,일반상업,판매,1977,,18.18,2006,3,14,"7,000",,,,
25,28110,중구,항동7가,일반,일반상업,숙박,1977,105.5,340.75,2006,3,17,"21,000",,,,
26,28110,중구,항동7가,집합,일반상업,판매,1977,,16.53,2006,3,23,"5,000",,,,
27,28110,중구,항동7가,일반,일반상업,판매,1977,13.2,9.92,2006,3,27,"9,000",,,,
28,28110,중구,신흥동3가,집합,일반상업,판매,1982,,53.53,2006,3,31,"15,000",,,,
29,28110,중구,내동,일반,일반상업,제2종근린생활,1974,122,144.63,2006,3,24,"13,900",,,,
30,28110,중구,경동,일반,일반상업,숙박,1984,238,490.2,2006,3,27,"32,000",,,,
31,28110,중구,전동,집합,일반상업,기타,2001,,117.99,2006,3,8,"5,500",,,,
32,28110,중구,북성동1가,일반,준주거,기타,1980,165.6,173.15,2006,3,9,"10,500",,,,
33,28110,중구,북성동2가,일반,제2종일반주거,제1종근린생활,1970,108.25,507.63,2006,3,3,"24,000",,,,
34,28110,중구,운남동,일반,생산녹지,기타,2000,797,656.84,2006,3,7,"92,000",,,,
35,28110,중구,운서동,집합,일반상업,제1종근린생활,2004,,130.97,2006,3,2,"22,300",,,,
36,28110,중구,운서동,집합,일반상업,제2종근린생활,2002,,74.7,2006,3,10,"13,200",,,,
37,28110,중구,운서동,집합,일반상업,제1종근린생활,2002,,38.38,2006,3,20,"29,000",,,,
38,28110,중구,운서동,집합,일반상업,제1종근린생활,2002,,38.38,2006,3,28,"30,000",,,,
39,28110,중구,운서동,집합,일반상업,제1종근린생활,2002,,38.38,2006,3,28,"30,000",,,,
40,28110,중구,덕교동,일반,자연녹지,제2종근린생활,1972,365,73.05,2006,3,29,"28,570",,,,
41,28110,중구,항동7가,집합,일반상업,판매,1977,,19.83,2006,4,10,"4,000",,,,
42,28110,중구,항동7가,집합,일반상업,기타,1981,,28,2006,4,18,"3,000",,,,
43,28110,중구,항동7가,집합,일반상업,판매,1977,,9.92,2006,4,25,"5,000",,,,
44,28110,중구,항동7가,집합,일반상업,판매,1999,,12.6,2006,4,26,"1,350",,,,
45,28110,중구,신생동,일반,일반상업,기타,1995,39,93.24,2006,4,20,"9,000",,,,
46,28110,중구,신흥동3가,집합,일반상업,판매,1982,,56.16,2006,4,6,"15,500",,,,
47,28110,중구,신흥동3가,일반,제2종일반주거,기타,1999,288.3,172.49,2006,4,30,"44,250",,,,
48,28110,중구,인현동,일반,일반상업,숙박,1986,271.1,791.93,2006,4,10,"25,000",,,,
49,28110,중구,운서동,집합,일반상업,제2종근린생활,2001,,52.98,2006,4,3,"50,000",,,,
50,28110,중구,운서동,집합,일반상업,기타,2003,,28.71,2006,4,6,"5,100",,,,
