,지역코드,시군구,법정동,용도지역,지목,거래면적,거래금액,년,월,일,거래유형,중개사소재지,해제사유발생일,해제여부
0,28140,동구,화수동,제2종일반주거지역,대,25,"1,350",2006,1,25,,,,
1,28140,동구,송림동,준주거지역,대,36,"3,400",2006,1,11,,,,
2,28140,동구,송림동,제3종일반주거지역,대,6,480,2006,1,20,,,,
3,28140,동구,화수동,제3종일반주거지역,대,153,"13,800",2006,2,24,,,,
4,28140,동구,송림동,준주거지역,대,42,"6,300",2006,2,1,,,,
5,28140,동구,송림동,준주거지역,대,39,"2,900",2006,2,1,,,,
6,28140,동구,송림동,준주거지역,잡종지,76,"7,000",2006,2,2,,,,
7,28140,동구,송림동,준주거지역,대,83,"10,250",2006,2,3,,,,
8,28140,동구,송림동,일반상업지역,대,117,"9,000",2006,2,13,,,,
9,28140,동구,송림동,준주거지역,대,40,"2,606",2006,2,23,,,,
10,28140,동구,송림동,준주거지역,도로,3,212,2006,2,23,,,,
11,28140,동구,송림동,일반상업지역,대,86,"6,500",2006,3,3,,,,
12,28140,동구,송림동,준주거지역,대,42,"3,600",2006,3,11,,,,
13,28140,동구,송림동,준주거지역,대,7,509,2006,3,11,,,,
14,28140,동구,송림동,준주거지역,대,72,"7,500",2006,3,17,,,,
15,28140,동구,송림동,제2종일반주거지역,대,6,600,2006,3,23,,,,
16,28140,동구,송림동,제2종일반주거지역,대,4,400,2006,3,23,,,,
17,28140,동구,송림동,제2종일반주거지역,대,4,500,2006,3,23,,,,
18,28140,동구,송림동,제2종일반주거지역,대,3,300,2006,3,23,,,,
19,28140,동구,송림동,제2종일반주거지역,대,9,900,2006,3,23,,,,
20,28140,동구,송림동,준주거지역,대,5,"1,500",2006,3,28,,,,
21,28140,동구,송림동,준주거지역,대,22,"7,700",2006,3,28,,,,
22,28140,동구,송림동,일반상업지역,대,43,"2,500",2006,3,29,,,,
23,28140,동구,송림동,준주거지역,대,20,"2,800",2006,3,31,,,,
24,28140,동구,송림동,준주거지역,대,26,"3,500",2006,3,31,,,,
25,28140,동구,송림동,준주거지역,대,41,"8,000",2006,3,31,,,,
26,28140,동구,만석동,제3종일반주거지역,대,73,"6,500",2006,4,13,,,,
27,28140,동구,화수동,제3종일반주거지역,대,77,"5,000",2006,4,3,,,,
28,28140,동구,화수동,일반공업지역,대,292,"24,100",2006,4,16,,,,
29,28140,동구,화수동,제3종일반주거지역,대,1,97,2006,4,30,,,,
30,28140,동구,화수동,제3종일반주거지역,대,18,"1,709",2006,4,30,,,,
31,28140,동구,화수동,제3종일반주거지역,대,1,117,2006,4,30,,,,
32,28140,동구,화수동,제3종일반주거지역,대,9,"1,009",2006,4,30,,,,
33,28140,동구,화수동,제3종일반주거지역,도로,3,286,2006,4,30,,,,
34,28140,동구,화평동,제3종일반주거지역,대,32,"2,107",2006,4,19,,,,
35,28140,동구,금곡동,제2종일반주거지역,대,218,"18,500",2006,4,20,,,,
36,28140,동구,송림동,제2종일반주거지역,대,83,"8,100",2006,4,1,,,,
37,28140,동구,송림동,제2종일반주거지역,대,1,100,2006,4,4,,,,
38,28140,동구,송림동,제2종일반주거지역,대,42,"2,500",2006,4,4,,,,
39,28140,동구,송림동,제2종일반주거지역,대,49,"3,821",2006,4,5,,,,
40,28140,동구,송림동,준주거지역,대,17,"4,300",2006,4,7,,,,
41,28140,동구,송림동,제2종일반주거지역,대,63,"2,200",2006,4,9,,,,
42,28140,동구,송림동,준주거지역,대,66,"6,312",2006,4,15,,,,
43,28140,동구,송림동,제2종일반주거지역,대,20,"2,400",2006,4,15,,,,
44,28140,동구,송림동,준주거지역,대,55,"4,687",2006,4,15,,,,
45,28140,동구,송림동,준주거지역,대,13,306,2006,4,20,,,,
46,28140,동구,송림동,제2종일반주거지역,대,21,"1,000",2006,4,20,,,,
47,28140,동구,송림동,제2종일반주거지역,대,143,"5,753",2006,4,28,,,,
48,28140,동구,만석동,제3종일반주거지역,대,58,"4,088",2006,5,29,,,,
49,28140,동구,만석동,일반공업지역,대,28,"1,210",2006,5,30,,,,
50,28140,동구,만석동,제2종일반주거지역,대,2,155,2006,5,30,,,,
51,28140,동구,화수동,제3종일반주거지역,대,2,51,2006,5,8,,,,
52,28140,동구,화수동,제3종일반주거지역,대,6,476,2006,5,8,,,,
53,28140,동구,화수동,제3종일반주거지역,대,20,"1,450",2006,5,8,,,,
54,28140,동구,화수동,제3종일반주거지역,대,77,"5,600",2006,5,24,,,,
55,28140,동구,화평동,제3종일반주거지역,대,21,"1,600",2006,5,20,,,,
56,28140,동구,송림동,제3종일반주거지역,대,4,350,2006,5,1,,,,
57,28140,동구,송림동,준주거지역,대,19,800,2006,5,1,,,,
58,28140,동구,송림동,제2종일반주거지역,대,39,"2,450",2006,5,1,,,,
59,28140,동구,송림동,제2종일반주거지역,대,27,"2,250",2006,5,1,,,,
60,28140,동구,송림동,제2종일반주거지역,대,10,800,2006,5,1,,,,
61,28140,동구,송림동,제2종일반주거지역,대,1,254,2006,5,6,,,,
62,28140,동구,송림동,제2종일반주거지역,대,3,616,2006,5,6,,,,
